title,period,username,date,comment,head
pod powierzchnią,(2018-) serial TV,natalka8925,18/11/2018 22:58,"Jakie są Wasze odczucia względem obu seriali? Mam na myśli świat przedstawiony: szkołę, miasteczko, bohaterów. Wg mnie Pod Powierzchnią się chowa i to głęboko pod powierzchnię... Mam wrażenie, że w Belfrze w jednym odcinku przedstawiono więcej emocji, uczuć, wątków niż w Pod Powierzchnią w ciągu pięciu. Sami bohaterowie są bardzo przekonywujący, nawet szkolne postacie, które zwykle ledwo raczkują. Co sądzicie?",Pod powierzchnią kontra Belfer
pod powierzchnią,(2018-) serial TV,agnieszkagiera,17/11/2018 17:58,Czy ktoś orientuje się jaki zegarek nosi główna bohaterka - Marta Gajewska.Z góry dziękuję za pomoc:),Zegarek - pytanie do znawców
pod powierzchnią,(2018-) serial TV,Maggie1980,16/11/2018 10:25,"Ja podejrzewam, że dyrektor miał romans z opiekunką i przez ich,, romansowanie "" dziecko utonęło...",Jak sądzicie co się stało z dzieckiem??? 
pod powierzchnią,(2018-) serial TV,elfikwaw,10/11/2018 20:35,"Pierwszy odcinek zapowiadał emocjonalnie opowiedzianą historię. Scena Simlata gdzie pyta córki :""Kim Ty jesteś!"" Ona odpowiada :""Nikim!""jest jak ciekawa tkanina, złożona z różnego rodzaju nitek, niteczek.. Złość, miesza się z smutkiem, z bezsilnością.Już poleciłam go wszystkim, zarekomendowałam i... Obejrzałam drugi.. Szok. Trudno mi było uwierzyć, że jest to ta sama historia. Zakrólowały uproszczenia i schematy. Postać TBartosza Topy, rozmywa się w nijakości, nie ma miejsca na rozwinięcie.. Jako widz nie widzę połączenia pomiędzy walką o związek a pójściem w Romans i to z uczennicą. Według mnie reżyser nie wypełnił luki pomiędzy jednym a drugim.. Szkoda.. I jeszcze Simlat wciąż i wciąż chodzący za córką..szkoda.. Zapowiadał się wyjątkowo dobrze! Jako skąplikowany dramat, z pejzażem konfliktów emocjonalnych..",Pierwszy odcinek 
pod powierzchnią,(2018-) serial TV,cloudy_olive,09/11/2018 00:52,Czołówka pod względem muzyki i wizualnym bardzo kojarzy mi się z czołówką z serialu Taboo. Ktoś jeszcze ma takie odczucie??? :),czołówka...
pod powierzchnią,(2018-) serial TV,rene26,30/10/2018 22:35,"Obejrzałam pierwszy odcinek i wszystko mi się podobało, uwielbiam Boczarską, ten dramatyczny klimat, gra aktorska ogromny plus.. Pod koniec pomyślałam, że gdzieś już to było, podobne wątki i moim zdaniem OGROMNA inspiracja ""The Affair"". Jeśli ktoś nie oglądał to polecam gorąco. Mnie trochę te podobne schematy zraziły, ale obejrzę kolejny odcinek by dać serialowi szansę ;)",Czy ktoś zauważył dużą inspirację innym serialem? ;) 
pod powierzchnią,(2018-) serial TV,qzka,03/11/2018 18:28,"no, taka tendencja, czemu? na dzien dobry pyskówy, ""odczep sie"" i ta wbudowana chęć buntu. Belfer, Pułapka, Pod powierzchnia, znalazloby sie jeszcze cos, gdzie mlodziez prezentuje szacunek zerowy losowy rzut mięsem, bezczelnosc i opryskliwosc - czemu tak nastolatki sa pokazywane, tak czesto, tak gesto? Hej mlodziaki, to sie dzieje :) Duże ziarnko prawdy? Czemu? Czasy internetu? te hejty nie-hejty. Chyba kiedys tak nie bylo:) Dodatkowo co - glowna bohaterka zwraca sie do dyrektora na ""ty"", dyrektora natomiast chetnie bierze udzial w tym do czego sie go ""kusi"". Mysle sobie - ktos to oglada i komus to moze ... imponuje? Ze tak można? Jak to tlumaczyc, dziewczyna szuka ""bezpieczenstwa"" w starszym mezczyznie ktory ma zone; ""slubuję Ci wierność"", ""w biedzie, w chorobie"", ""na dobre i na złe"" u faceta nie dziala. Depresja partnera to nie powod do zdrady, co? A jednak, zycie pisze rozne scenariusze. Bo serial serialem. Nie jestem wierzaca, ale pewne rzeczy sa niezmienne, serial to tylko losowa fabuła, neistety niektore zasady rowniez w zyciu są łamane. Serial ""kontrowersyjny"", rażący w wielu miejscach, irytujacy (ale tak ma być, ogladalnosc rośnie!) - jest pelno kwestii ktore sa po prostu absurdalne z tytulu zachowania moralnosci i zwyklego ludzkiego >dobrego< wychowania, wyczucia. Ale ogladamy dalej. Do głębszego przemyslenia ""co byś zrobił gdyby"" + jestesmy kowalami wlasnego losu, ot ;)",Nowe seriale i opryskliwosc 'trudnej' mlodziezy (po primo)
pod powierzchnią,(2018-) serial TV,olga_malitka,05/10/2018 11:15,Muzyka to bencoks so cold,Muzyka z filmu
pod powierzchnią,(2018-) serial TV,malgos0909,28/09/2018 13:08,Ben Cocks - So Cold,Ben Cocks - So Cold
pod powierzchnią,(2018-) serial TV,pogodno_2,10/07/2018 15:03,https://www.wirtualnemedia.pl/artykul/magdalena-boczarska-w-...,"Premiera, prawdopodobnie w połowie października."
